243	184	372	184	372	375	243	375	
387	119	435	119	435	299	387	299	
452	17	500	17	500	247	452	247	
515	69	565	69	565	184	515	184	
516	195	618	195	618	247	516	247	
127	392	370	392	370	439	127	439	
322	459	371	459	371	544	322	544	
387	315	436	315	436	545	387	545	
449	457	499	457	499	584	449	584	
451	263	643	263	643	375	451	375	
450	390	667	390	667	441	450	441	
513	456	616	456	616	506	513	506	
